hs_contact_id,email,account_name_freetext,lifecycle_stage_hs,hs_lead_score,lead_source_hs,segment_raw_hs,country,created_at,is_internal,_synced_at
HS-000040,amber4040@example.com,Martin Group,marketingqualifiedlead,62,Content Download,SmallBiz,United States,2025-12-26 15:04:16,false,2026-04-01 06:30:00
HS-000041,willie8741@example.com,"Smith, Buck and Holland",lead,16,inbound,Small Business,United States,2025-11-15 00:11:42,false,2026-04-01 06:30:00
HS-000042,pwilliams42@example.com,Flynn Group,marketingqualifiedlead,77,Referral,Small Business,United Kingdom,2025-10-11 19:46:53,false,2026-04-01 06:30:00
HS-000043,lukemiller43@example.com,Holden Group,marketingqualifiedlead,82,Content,Mid-Market,Germany,2026-02-28 03:17:58,false,2026-04-01 06:30:00
HS-000044,jacksonstephanie44@example.com,Haynes-Moss,marketingqualifiedlead,77,Cold Outreach,ENT,United Kingdom,2025-11-10 11:19:32,false,2026-04-01 06:30:00
HS-000045,simsjason45@example.com,Blackwell LLC,marketingqualifiedlead,88,inbound,MM,Australia,2026-02-10 15:26:05,false,2026-04-01 06:30:00
HS-000046,michellecoleman46@example.com,"Evans, Hayden and Vaughn",marketingqualifiedlead,53,Word of Mouth,smb,United States,2025-10-14 07:06:13,false,2026-04-01 06:30:00
HS-000047,harrismaria47@example.com,Hayes LLC,marketingqualifiedlead,62,Channel,Mid-Market,United Kingdom,2026-01-05 09:18:21,false,2026-04-01 06:30:00
HS-000048,elucas48@example.com,Allen Inc,marketingqualifiedlead,52,inbound,smb,Canada,2025-12-16 01:43:18,false,2026-04-01 06:30:00
HS-000049,andrewlove49@example.com,Dixon Inc,marketingqualifiedlead,59,IB,SMB,Canada,2026-02-22 15:21:41,false,2026-04-01 06:30:00
HS-000050,millerbrian50@example.com,Turner-Stout,marketingqualifiedlead,55,Inbound,SmallBiz,Australia,2025-11-23 06:28:11,false,2026-04-01 06:30:00
HS-000051,angela9351@example.com,"Sullivan, Palmer and Brady",marketingqualifiedlead,79,inbound,smb,Canada,2026-03-08 01:54:34,false,2026-04-01 06:30:00
HS-000052,rickey7652@example.com,Davis and Sons,marketingqualifiedlead,64,Event,SMB,Canada,2025-11-27 08:42:33,false,2026-04-01 06:30:00
HS-000053,ystewart53@example.com,"Rios, Walker and Wright",lead,25,Outbound,Mid-Market,Australia,2025-12-01 01:52:35,false,2026-04-01 06:30:00
HS-000054,nicholsdarlene54@example.com,Gilbert PLC,marketingqualifiedlead,40,Paid Ads,smb,Australia,2025-10-16 15:43:47,false,2026-04-01 06:30:00
HS-000055,avilabrenda55@example.com,"Lynch, Evans and Rodriguez",marketingqualifiedlead,46,Channel,SMB,United States,2025-10-18 16:18:08,false,2026-04-01 06:30:00
HS-000056,howardwesley56@example.com,Wilson-Jimenez,lead,9,outbound,SmallBiz,Australia,2025-12-15 18:35:40,false,2026-04-01 06:30:00
HS-000057,kristin4957@example.com,Miller Inc,marketingqualifiedlead,74,PPC,Mid-Market,United Kingdom,2025-09-05 04:33:16,false,2026-04-01 06:30:00
HS-000058,campbellsara58@example.com,Lam-Elliott,lead,28,Inbound,MidMarket,United Kingdom,2026-01-21 09:49:51,false,2026-04-01 06:30:00
HS-000059,qfoster59@example.com,Gilbert-Bullock,marketingqualifiedlead,88,Inbound,SmallBiz,United States,2025-11-06 13:01:25,false,2026-04-01 06:30:00
HS-000060,wellsamanda60@example.com,Johnston-Odonnell,lead,25,Partner,MM,United Kingdom,2025-11-25 15:42:08,false,2026-04-01 06:30:00
HS-000061,julierobles61@example.com,"Marks, Stone and Watts",marketingqualifiedlead,68,Outbound,smb,Australia,2026-03-20 11:55:51,false,2026-04-01 06:30:00
HS-000062,susan2462@example.com,Smith LLC,lead,11,Content Download,Mid Market,Australia,2025-12-19 15:57:21,false,2026-04-01 06:30:00
HS-000063,susan0863@example.com,Wagner-King,lead,28,Paid,SmallBiz,Australia,2026-03-13 11:28:05,false,2026-04-01 06:30:00
HS-000064,davidsmith64@example.com,Terry-Martinez,marketingqualifiedlead,82,inbound,Strategic,Germany,2025-09-29 04:51:28,false,2026-04-01 06:30:00
HS-000065,fmedina65@example.com,Cox LLC,marketingqualifiedlead,53,Outbound,SmallBiz,Germany,2026-01-04 17:24:23,false,2026-04-01 06:30:00
HS-000066,jason5366@example.com,Young-Martinez,marketingqualifiedlead,79,inbound,MM,Germany,2025-09-21 00:35:07,false,2026-04-01 06:30:00
HS-000067,gwhitehead67@example.com,"Moore, Price and Ward",lead,23,Content Download,MM,Canada,2025-10-13 23:56:48,false,2026-04-01 06:30:00
HS-000068,eugenewalker68@example.com,Anthony-Parker,lead,19,Partner,smb,Australia,2025-10-21 00:45:07,false,2026-04-01 06:30:00
HS-000069,james2969@example.com,Howell and Sons,lead,15,inbound,ENT,United Kingdom,2026-01-05 00:54:32,false,2026-04-01 06:30:00
HS-000070,yorksarah70@arcline.com,Nolan and Sons,marketingqualifiedlead,68,IB,smb,United States,2025-11-18 13:27:07,true,2026-04-01 06:30:00
HS-000071,enewman71@example.com,Rowe Group,lead,32,Inbound,Small Business,Canada,2025-09-24 03:06:35,false,2026-04-01 06:30:00
HS-000072,emily4172@example.com,"Marshall, Dominguez and Welch",lead,37,Event,SmallBiz,United Kingdom,2025-09-02 06:50:28,false,2026-04-01 06:30:00
HS-000073,jessicafreeman73@example.com,Campbell-Clark,marketingqualifiedlead,83,IB,smb,Germany,2025-11-05 07:49:19,false,2026-04-01 06:30:00
HS-000074,michael3174@example.com,Phelps LLC,marketingqualifiedlead,76,Cold Outreach,Small Business,United States,2025-08-21 09:52:09,false,2026-04-01 06:30:00
HS-000075,christine3575@example.com,"Torres, Brown and Williams",marketingqualifiedlead,49,inbound,SmallBiz,United States,2025-12-25 05:05:28,false,2026-04-01 06:30:00
HS-000076,nhayes76@example.com,Martin-Ewing,marketingqualifiedlead,51,Word of Mouth,SmallBiz,United States,2025-09-03 03:22:01,false,2026-04-01 06:30:00
HS-000077,heather2977@example.com,"Ashley, Allen and Sanchez",lead,11,Inbound,smb,Germany,2025-12-11 20:39:16,false,2026-04-01 06:30:00
HS-000078,lindsey6278@example.com,"Brown, Harris and Dougherty",marketingqualifiedlead,84,Word of Mouth,smb,United States,2026-02-11 08:54:05,false,2026-04-01 06:30:00
HS-000079,edwardskristen79@example.com,"Flores, Butler and Hernandez",lead,31,outbound,Small Business,Germany,2025-11-01 04:48:08,false,2026-04-01 06:30:00
HS-000080,xhill80@example.com,Adams-Butler,lead,37,Outbound,MidMarket,United Kingdom,2025-10-25 16:09:45,false,2026-04-01 06:30:00
HS-000081,erinrivera81@example.com,Miller-Wright,marketingqualifiedlead,84,Paid,smb,Canada,2025-09-27 15:29:32,false,2026-04-01 06:30:00
HS-000082,wford82@example.com,Rios-Padilla,marketingqualifiedlead,66,Referral,MidMarket,Australia,2025-12-13 09:18:24,false,2026-04-01 06:30:00
HS-000083,tony1283@example.com,Jackson-Cortez,lead,15,Outbound,Small Business,Canada,2025-09-13 03:27:49,false,2026-04-01 06:30:00
HS-000084,wilkinsonmichele84@example.com,"Smith, Rodriguez and Anderson",lead,26,inbound,Mid Market,United States,2026-03-24 18:19:05,false,2026-04-01 06:30:00
HS-000085,patriciagonzalez85@example.com,"Porter, Schultz and Allen",marketingqualifiedlead,89,Event,MidMarket,United Kingdom,2025-09-06 17:34:48,false,2026-04-01 06:30:00
HS-000086,lunapatricia86@example.com,Martinez Inc,marketingqualifiedlead,71,Cold Outreach,SmallBiz,United States,2025-10-27 19:53:32,false,2026-04-01 06:30:00
HS-000087,hessbeth87@example.com,"Newton, Ortiz and King",marketingqualifiedlead,85,Trade Show,Small Business,Australia,2026-02-16 21:35:09,false,2026-04-01 06:30:00
HS-000088,rebeccaarnold88@example.com,Anderson Group,lead,6,Inbound,MidMarket,Australia,2026-01-03 19:04:07,false,2026-04-01 06:30:00
HS-000089,jvaldez89@example.com,"Acosta, Garcia and Moreno",marketingqualifiedlead,45,Cold Outreach,SmallBiz,Germany,2026-02-28 04:27:22,false,2026-04-01 06:30:00
HS-000090,philip9490@example.com,"Gray, Montoya and Miller",marketingqualifiedlead,52,Event,SmallBiz,Canada,2025-10-29 18:30:08,false,2026-04-01 06:30:00
HS-000091,stevendixon91@example.com,Combs PLC,marketingqualifiedlead,79,Channel,MidMarket,Australia,2025-10-10 21:39:26,false,2026-04-01 06:30:00
HS-000092,acox92@example.com,"Mullen, Brewer and Hernandez",lead,6,inbound,Small Business,Germany,2025-09-04 17:36:31,false,2026-04-01 06:30:00
HS-000092D,acox92@example.com,"Mullen, Brewer and Hernandez",lead,6,inbound,Small Business,Germany,2025-09-04 17:36:31,false,2026-04-01 06:30:00
HS-000093,melaniedrake93@example.com,Anderson-Reyes,lead,34,Cold Outreach,Small Business,Australia,2025-11-15 14:58:28,false,2026-04-01 06:30:00
HS-000094,katherinetaylor94@example.com,Humphrey-Baker,lead,30,Cold Outreach,enterprise,Germany,2025-09-20 01:24:03,false,2026-04-01 06:30:00
HS-000095,haroldfry95@example.com,"Shelton, Peters and Williams",lead,28,Content Download,enterprise,Australia,2025-11-23 14:05:13,false,2026-04-01 06:30:00
HS-000096,jillwebb96@example.com,Garcia and Sons,lead,15,Trade Show,smb,Canada,2025-10-23 11:26:39,false,2026-04-01 06:30:00
HS-000097,billy7397@example.com,Lyons-Bender,marketingqualifiedlead,66,inbound,Small Business,United Kingdom,2026-01-17 01:52:02,false,2026-04-01 06:30:00
HS-000098,bakerjim98@example.com,Smith and Sons,lead,34,IB,enterprise,Canada,2025-09-22 02:56:02,false,2026-04-01 06:30:00
HS-000099,aprilmoody99@example.com,"Mccarthy, Evans and Mendez",marketingqualifiedlead,74,outbound,Small Business,Germany,2025-12-02 12:04:27,false,2026-04-01 06:30:00
HS-000100,dharrison100@example.com,"Watson, Anderson and Brown",lead,16,PPC,Small Business,Canada,2025-09-18 21:42:02,false,2026-04-01 06:30:00
HS-000101,williamsdeborah101@example.com,"Fernandez, Guerrero and Evans",lead,15,Partner,Mid Market,Canada,2026-01-01 09:35:28,false,2026-04-01 06:30:00
HS-000102,padillaadrienne102@example.com,Baker-Wilson,marketingqualifiedlead,62,inbound,MM,United Kingdom,2025-11-25 13:46:53,false,2026-04-01 06:30:00
HS-000103,mary49103@example.com,Wagner LLC,marketingqualifiedlead,69,Trade Show,MidMarket,Australia,2025-12-28 00:10:38,false,2026-04-01 06:30:00
HS-000104,nicholasgray104@example.com,"Terrell, Byrd and Ross",lead,38,Inbound,Small Business,Australia,2025-10-03 19:56:09,false,2026-04-01 06:30:00
HS-000105,blacknicholas105@example.com,"Huang, Cole and Pacheco",lead,38,inbound,MM,Germany,2025-10-08 17:40:36,false,2026-04-01 06:30:00
HS-000106,zacharygomez106@example.com,Owens-Lang,marketingqualifiedlead,71,outbound,Mid Market,Australia,2026-01-11 18:35:01,false,2026-04-01 06:30:00
HS-000107,tommy79107@example.com,Flowers LLC,marketingqualifiedlead,75,inbound,Small Business,Australia,2025-12-27 06:46:12,false,2026-04-01 06:30:00
HS-000108,shawdon108@example.com,"Beard, Peters and Black",lead,27,Partner,Mid Market,United States,2026-03-26 13:32:08,false,2026-04-01 06:30:00
HS-000109,jerryrobertson109@example.com,Barnes PLC,marketingqualifiedlead,59,Channel,enterprise,Canada,2026-01-20 00:27:15,false,2026-04-01 06:30:00
HS-000110,jason22110@example.com,Thompson-Harrell,lead,5,Cold Outreach,smb,Germany,2026-03-03 13:48:39,false,2026-04-01 06:30:00
HS-000111,carolyn13111@example.com,Gray Group,lead,17,Paid,SmallBiz,Canada,2026-01-16 23:11:24,false,2026-04-01 06:30:00
HS-000112,ushepherd112@example.com,Levy-May,lead,34,IB,smb,United Kingdom,2026-02-16 21:06:33,false,2026-04-01 06:30:00
HS-000113,olsontimothy113@example.com,Baxter Inc,lead,34,inbound,smb,United Kingdom,2025-12-25 11:54:39,false,2026-04-01 06:30:00
HS-000114,brittanyholland114@example.com,"Davis, Rodriguez and Andrews",marketingqualifiedlead,59,Event,SMB,Canada,2025-11-12 23:51:44,false,2026-04-01 06:30:00
HS-000115,cjohnson115@example.com,Vargas-Snyder,lead,27,Inbound,smb,United States,2026-01-24 07:19:12,false,2026-04-01 06:30:00
HS-000116,ashleymartin116@example.com,"Bartlett, Brown and Martinez",marketingqualifiedlead,50,outbound,Small Business,United Kingdom,2025-09-03 15:09:09,false,2026-04-01 06:30:00
HS-000117,macdonalddylan117@example.com,Smith LLC,marketingqualifiedlead,74,Cold Outreach,smb,Germany,2025-11-20 05:23:12,false,2026-04-01 06:30:00
HS-000118,jonathanwhite118@example.com,Miller-Montgomery,marketingqualifiedlead,74,inbound,SMB,United States,2025-12-07 03:11:15,false,2026-04-01 06:30:00
HS-000119,kgreene119@example.com,"Gutierrez, Avila and Perez",lead,36,outbound,SmallBiz,Canada,2025-12-07 06:32:35,false,2026-04-01 06:30:00
HS-000120,johnsjessica120@example.com,Navarro-Munoz,marketingqualifiedlead,64,Paid,Small Business,Germany,2025-09-29 11:53:43,false,2026-04-01 06:30:00
HS-000121,stacey37121@example.com,Hardy-Hansen,marketingqualifiedlead,76,IB,Mid-Market,Canada,2025-12-01 21:36:52,false,2026-04-01 06:30:00
HS-000122,kdillon122@example.com,"Mueller, Knight and Hodge",marketingqualifiedlead,81,Content,smb,United Kingdom,2026-01-29 08:02:17,false,2026-04-01 06:30:00
HS-000123,mariaburke123@example.com,King-Martinez,lead,37,Content Download,MidMarket,Canada,2025-10-29 20:09:06,false,2026-04-01 06:30:00
HS-000124,cindydixon124@example.com,"Hicks, Bullock and Bailey",marketingqualifiedlead,78,Word of Mouth,smb,United Kingdom,2025-09-24 01:42:09,false,2026-04-01 06:30:00
HS-000125,jennifercooper125@example.com,May-Ross,lead,21,Outbound,SmallBiz,Germany,2025-12-08 04:03:09,false,2026-04-01 06:30:00
HS-000126,ecarlson126@example.com,Mccann-Ramos,marketingqualifiedlead,67,Partner,Strategic,United States,2025-11-16 13:05:18,false,2026-04-01 06:30:00
HS-000127,nicholasanderson127@example.com,"Vang, Stanley and Valdez",lead,38,Outbound,SmallBiz,United Kingdom,2026-01-13 21:57:25,false,2026-04-01 06:30:00
HS-000128,harrismichele128@example.com,"Hall, Hansen and Barnett",marketingqualifiedlead,58,Trade Show,smb,Australia,2026-01-07 17:23:31,false,2026-04-01 06:30:00
HS-000129,mserrano129@example.com,"Jones, Compton and Day",marketingqualifiedlead,55,Content,smb,Canada,2025-10-05 09:17:03,false,2026-04-01 06:30:00
HS-000130,thompsonrachel130@example.com,"Patton, Parsons and Lane",marketingqualifiedlead,81,inbound,Small Business,United States,2025-11-12 04:08:17,false,2026-04-01 06:30:00
HS-000131,richamanda131@example.com,"Wilson, Pena and Rich",marketingqualifiedlead,66,Inbound,Mid Market,Germany,2025-10-10 19:50:24,false,2026-04-01 06:30:00
HS-000132,davisdonna132@example.com,Walker PLC,lead,12,Partner,SMB,United Kingdom,2026-02-27 20:19:47,false,2026-04-01 06:30:00
HS-000133,princekimberly133@example.com,"Miller, Ramos and Coleman",lead,8,Trade Show,MM,United Kingdom,2025-12-09 14:24:18,false,2026-04-01 06:30:00
HS-000134,xboyd134@example.com,Moore-Bass,marketingqualifiedlead,80,Paid Ads,SmallBiz,Australia,2026-02-24 03:35:09,false,2026-04-01 06:30:00
HS-000135,wolferoy135@example.com,Ellis-Lawrence,lead,13,Trade Show,SMB,United States,2026-03-11 18:38:47,false,2026-04-01 06:30:00
HS-000136,yclarke136@example.com,Anthony-Parker,marketingqualifiedlead,59,Paid,Small Business,Australia,2025-08-30 11:57:26,false,2026-04-01 06:30:00
HS-000137,brianna91137@example.com,Suarez LLC,lead,32,Content Download,SMB,Australia,2025-12-31 09:35:26,false,2026-04-01 06:30:00
HS-000138,eanderson138@example.com,Brown-Wall,marketingqualifiedlead,51,Referral,smb,Australia,2025-10-22 01:32:48,false,2026-04-01 06:30:00
HS-000139,reneemiller139@example.com,Mckinney-Wallace,marketingqualifiedlead,72,Paid,smb,Germany,2025-09-01 23:46:25,false,2026-04-01 06:30:00
HS-000140,ascott140@example.com,"Hernandez, Lee and Fox",lead,9,IB,Small Business,United States,2025-09-24 01:18:37,false,2026-04-01 06:30:00
HS-000141,lanedavid141@example.com,Smith-Noble,marketingqualifiedlead,88,Content,SmallBiz,Canada,2025-12-26 15:39:11,false,2026-04-01 06:30:00
HS-000142,brooksjamie142@example.com,Davis Ltd,marketingqualifiedlead,86,IB,smb,United States,2026-01-11 15:24:48,false,2026-04-01 06:30:00
HS-000143,robert12143@example.com,Rowe Group,marketingqualifiedlead,66,Paid,smb,Canada,2025-10-06 11:25:17,false,2026-04-01 06:30:00
HS-000144,qpearson144@example.com,Lopez-Williams,marketingqualifiedlead,71,Inbound,Small Business,Australia,2025-11-22 14:05:37,false,2026-04-01 06:30:00
HS-000145,melissa69145@example.com,Guerrero Inc,marketingqualifiedlead,53,IB,SMB,United States,2026-02-13 18:37:23,false,2026-04-01 06:30:00
HS-000146,cheryl63146@example.com,White-Medina,marketingqualifiedlead,83,Event,enterprise,Australia,2025-11-15 04:37:24,false,2026-04-01 06:30:00
HS-000147,jarnold147@example.com,Gross-Valencia,marketingqualifiedlead,55,Cold Outreach,SmallBiz,Canada,2026-02-27 09:34:43,false,2026-04-01 06:30:00
HS-000148,jwhite148@example.com,"Chan, Lewis and Walker",marketingqualifiedlead,73,Outbound,MM,Australia,2025-10-22 16:10:15,false,2026-04-01 06:30:00
HS-000149,tking149@example.com,"Anderson, Dalton and Wilson",marketingqualifiedlead,65,inbound,SmallBiz,Germany,2026-02-20 21:20:25,false,2026-04-01 06:30:00
HS-000150,kim62150@example.com,"Wood, Hunter and Peterson",lead,21,Paid Ads,SMB,Australia,2025-12-24 12:10:20,false,2026-04-01 06:30:00
HS-000151,adkinssean151@example.com,Hughes Inc,lead,5,outbound,smb,Canada,2025-10-10 08:20:27,false,2026-04-01 06:30:00
HS-000152,craigromero152@example.com,"Rodriguez, Allen and Martinez",marketingqualifiedlead,60,Paid,Small Business,Germany,2026-02-25 03:37:23,false,2026-04-01 06:30:00
HS-000153,lauren90153@example.com,Hill Inc,lead,18,Event,SmallBiz,Canada,2025-11-13 18:44:37,false,2026-04-01 06:30:00
HS-000154,paulfields154@example.com,"Duran, Obrien and Gibbs",marketingqualifiedlead,81,Content,Small Business,Canada,2025-12-06 06:35:21,false,2026-04-01 06:30:00
HS-000155,morrowthomas155@example.com,Ray PLC,marketingqualifiedlead,80,Partner,Mid-Market,United Kingdom,2025-12-05 02:28:56,false,2026-04-01 06:30:00
HS-000156,qdavis156@example.com,"Ferrell, Jones and Lewis",lead,9,Channel,ENT,United Kingdom,2026-01-27 03:27:27,false,2026-04-01 06:30:00
HS-000157,nathanlynch157@example.com,"Bernard, Warren and Combs",marketingqualifiedlead,63,Cold Outreach,Small Business,Australia,2025-09-02 01:47:23,false,2026-04-01 06:30:00
HS-000158,zarias158@example.com,Schultz Inc,lead,8,IB,Mid Market,United Kingdom,2025-09-14 06:28:52,false,2026-04-01 06:30:00
HS-000159,jennifer90159@arcline.com,"Sparks, Jackson and Miller",marketingqualifiedlead,46,Inbound,smb,Australia,2026-02-27 21:05:37,true,2026-04-01 06:30:00
HS-000160,daniellegonzales160@example.com,Morrison-Short,lead,33,Content Download,Mid Market,Germany,2026-01-19 15:41:11,false,2026-04-01 06:30:00
HS-000161,melissagalvan161@example.com,Salas-Fitzgerald,marketingqualifiedlead,60,outbound,SMB,Germany,2025-11-04 08:53:57,false,2026-04-01 06:30:00
HS-000162,james98162@example.com,Curry-Barker,marketingqualifiedlead,79,inbound,ENT,Germany,2025-10-10 13:39:00,false,2026-04-01 06:30:00
HS-000163,christinacraig163@example.com,"Sanders, Leblanc and Maldonado",lead,24,Trade Show,SMB,Australia,2026-03-24 12:37:20,false,2026-04-01 06:30:00
HS-000164,john02164@example.com,"Miller, Hernandez and Reyes",lead,30,Cold Outreach,SmallBiz,United Kingdom,2025-10-07 13:04:12,false,2026-04-01 06:30:00
HS-000165,sheakimberly165@example.com,Blake Group,lead,14,Trade Show,smb,Australia,2025-12-30 13:40:20,false,2026-04-01 06:30:00
HS-000166,elizabeth69166@example.com,"Evans, Jackson and Sandoval",lead,36,Paid,SmallBiz,Australia,2026-02-24 21:12:38,false,2026-04-01 06:30:00
HS-000167,aprilmclaughlin167@example.com,Herman-Walker,marketingqualifiedlead,90,Outbound,Small Business,Canada,2026-02-27 03:42:35,false,2026-04-01 06:30:00
HS-000168,calhounandrea168@example.com,"Ellison, Arias and Thompson",marketingqualifiedlead,59,Channel,Small Business,Australia,2025-12-18 02:32:58,false,2026-04-01 06:30:00
HS-000169,michael43169@example.com,Reid-Poole,lead,39,outbound,ENT,United States,2026-03-26 17:50:14,false,2026-04-01 06:30:00
HS-000170,shawnpowell170@example.com,"Robinson, Jones and Welch",lead,23,inbound,SmallBiz,Germany,2025-11-19 11:57:19,false,2026-04-01 06:30:00
HS-000171,greenrichard171@example.com,Mcdonald-Bird,lead,38,inbound,Mid Market,United Kingdom,2025-10-31 00:18:57,false,2026-04-01 06:30:00
HS-000172,hansenwesley172@example.com,"Flores, Mckenzie and Duncan",lead,23,IB,SmallBiz,Germany,2025-11-09 05:36:53,false,2026-04-01 06:30:00
HS-000173,stacey84173@example.com,Mendez PLC,lead,16,Inbound,smb,Germany,2025-10-04 09:03:50,false,2026-04-01 06:30:00
HS-000174,heather69174@example.com,"Martinez, Cline and Wright",marketingqualifiedlead,58,Content Download,smb,United States,2025-11-05 09:42:34,false,2026-04-01 06:30:00
